Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;GRANT001.1.1.07.24;ANUIDADES;21704003;
FECD;FECD001.1.1.03.01;PASSAGENS NACIONAIS;45005013;
FECD;PROJ001.1.4.02.01;DESCONTOS OBTIDOS;21401003;
FECD;FECD001.1.4.01.037;BANCO ITAÚ C/C 14.353-3 - WHO GILBERTO KAC;35001006;
FECD;IMP004.01;FECHAMENTO DE CÂMBIO;21104002;
FECD;GRANT001.1.1.04.12;PARTES E PEÇAS;21704015;
FECD;A1.2.4.03;Notebook ou Desktop (1 un.);21304004;
FECD;PROJ001.1.1.07.15;GRÁFICOS;21504022;
FECD;FECD001.1.4.02.022;BANCO ITAÚ C/C 99.881-1 - ANA PAULA MRC FAPESP;35001005;
FECD;FECD001.1.4.02.008;BANCO ITAÚ C/C 99.896-9 - LVM - ABBOTT NASAL;35001005;
FECD;FECD001.1.4.01.001;BANCO DO BRASIL C/C 10.758-1 - WORSHOP FITOTERAPIA;35001006;
FECD;IMP004.50;(+) RENDIMENTOS DE APLICAÇÃO FINANCEIRA;21104002;
FECD;PROJ001.1.1.04.08;ÁGUA;21504015;
FECD;A1.2.2.02;Materiais de Uso e Consumo (unidades variadas) Projeto Praia Com Vida;21304015;
FECD;FECD001.1.1.07.03;XEROX;45005005;
FECD;PROJ002.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);21501020;
FECD;TEP001.1.1.07.07;ISS;21306004;
FECD;PROJ002.1.4.01.03;INSCRICOES (ADMINISTRACAO);21401002;
FECD;TEP001.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);21302001;
FECD;PROJ002.1.1.04.01;REAGENTES;21504021;
FECD;A1.4.1.08;Salários, Encargos e Benefícios;21301038;
FECD;TEP001.1.1.04.11;GASES INDUSTRIAIS;21304025;
FECD;GRANT002.1.1.06.02;INSS;21701012;
FECD;TEP001.1.1.04.04;RAÇÃO;21304025;
FECD;FECD001.1.1.10.12;AUXILIO REFEIÇÃO;45001012;
FECD;FECD001.1.1.12.01;DOAÇÕES;45005034;
FECD;FECD001.1.4.01.047;BANCO ITAÚ C/C 99.870-4 - BIOCHIMICO PROF. LUCIO;35001006;
FECD;PROJ001.1.1.01.01;INICIAÇÃO CIENTÍFICA;21501004;
FECD;A1.3.1.03;Diária para saídas de campo e eventos (1 diária);21301024;
FECD;FECD001.1.4.01.029;BANCO DO BRASIL C/C 8.831-5 - JNUTCLIN;35001006;
FECD;IMP004.91;GANHO DE CAPITAL;21104002;
FECD;GRANT001.1.1.06.03;IRRF;21701014;
FECD;PROJ001.1.1.07.13;CORREIOS E POSTAGENS;21504029;
FECD;FECD001.1.4.02.009;BANCO ITAÚ C/C 99.895-1 - LVM ABBOTT ASSINTOMATICOS;35001005;
FECD;TEP001.1.1.01.04;PÓS DOUTORADO;21301023;
FECD;GRANT002.1.3.01.03;(-) RETRAÇÃO (ADMINISTRAÇÃO);21602002;
FECD;FECD001.1.1.10.28;OUTRAS PROVISÕES;45001031;
FECD;FECD001.1.4.02.007;BANCO ITAÚ C/C 99.897-7 - LVM - FIND;35001005;
FECD;PROJ001.1.1.01.11;PESQUISA;21501004;
FECD;TEP001.1.1.04.09;MATERIAL P/ COFFEE BREAK;21304005;
FECD;FECD001.1.1.04.15;CARTÃO DE CRÉDITO;21101015;
FECD;IMP004.10;RECEITA ANTECIPADA DE IMPORTAÇÃO;21104002;
FECD;A1.1.2.02;Materiais de Uso e Consumo (unidades variadas);21304015;
FECD;PROJ001.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21502003;
FECD;1.2.3;Seguros;21307001;
FECD;FECD001.1.4.03.009;BANCO ITAÚ C/C 14.401-0 - BIOGEOMAR;35001009;
FECD;PROJ001.1.1.07.18;TELEFONE;21503002;
FECD;PROJ002.1.1.04.07;MATERIAL DE INFORMÁTICA;21507007;
FECD;IMP004.99;DEVOLUÇÕES DE IMPORTAÇÃO;21104002;
FECD;A2.1.2.01;Diária para saídas de campo e eventos;21301024;
FECD;A1.3.2.05;Impressão;21307004;
FECD;FECD001.1.4.01.068;BANCO ITAÚ C/C 99.832-4 ARCELOMITTAL (VOTORANTIN);35001006;
FECD;A2.1.3.01;Combustível para veículos e embarcações (litro);21304006;
FECD;TEP001.1.1.07.21;CARTORIO;21302003;
FECD;PROJ002.1.1.05.01;REAGENTES;21504021;
FECD;FECD001.1.1.10.11;VALE TRANSPORTE;45001011;
FECD;2.1.1;Equipamentos de Comunicação e TIC;21304004;
FECD;1.6.1;Material de Comunicação;21308003;
FECD;GRANT001.1.4.01.04;RECEITAS ANTECIPADAS;21601001;
FECD;FECD001.1.1.10.30;RESCISÃO;5001014;
FECD;PROJ001.1.1.02.01;DIÁRIAS NACIONAIS;21501005;
FECD;TEP001.1.1.06.03;IRRF;21306001;
FECD;PROJ001.1.1.10.04;PIS - FOLHA DE PAGAMENTO - PROJETOS;21501016;
FECD;GRANT001.1.1.05.02;ANIMAIS;21704025;
FECD;A1.2.1.01;Bolsa de Pós-doutorado incluindo impostos (Patricia Mancini);21301023;
FECD;A2.1.1.03;Camisetas para Equipe do Projeto (1 un.);21304015;
FECD;FECD001.1.4.01.005;BANCO DO BRASIL C/C 10.787-5 - LIGHT S/A;35001006;
FECD;FECD001.1.4.02.031;BANCO ITAÚ C/C 99.841-5 - HOLISTIC;35001005;
FECD;FECD001.1.1.10.18;CONTRIBUIÇÃO PATRONAL;45001016;
FECD;GRANT001.1.1.07.02;DESPESAS BANCÁRIAS;21705003;
FECD;GRANT001.1.1.04.06;MATERIAL DE PAPELARIA;21707004;
FECD;TEP001.1.1.07.08;IRRF NFS;21306005;
FECD;A1.1.2.03;Seguros para pessoas e equipamentos em saída de campo (1 un.);21304028;
FECD;FECD001.1.1.04.01;REAGENTES;45005035;
FECD;FECD001.1.4.01.025;BANCO DO BRASIL C/C 7.868-9 - FUNDAÇÃO EDUC. CIÊNCIA E DESENVOLVIMENTO FECD;35001006;
FECD;TEP001.1.1.07.12;LOCAÇÃO URBANA;21307001;
FECD;TEP001.1.1.01.05;DTI - B;21301023;
FECD;TEP001.1.1.03.01;PASSAGENS NACIONAIS;21304024;
FECD;FECD001.1.1.10.21;PROVISÃO DE3 13. SALARIO;45001024;
